,Event,TimeControl,endFEN,moves,mated_by,Winner,victory_status,wKing_sqr,bKing_sqr,wQueen_sqr,bQueen_sqr,wRook_sqr,bRook_sqr,wRook2_sqr,bRook2_sqr,wBishop_sqr,bBishop_sqr,wBishop2_sqr,bBishop2_sqr,wKnight_sqr,bKnight_sqr,wKnight2_sqr,bKnight2_sqr,avg_Elo
2606,Rated Blitz game,180+0,4R1k1/7p/pp1n2pB/2pP4/P1P5/8/1P5K/5R2 b - - 0 30,30,,white,resign,"(6, 7)","(0, 6)","(None, None)","(None, None)","(0, 4)","(None, None)","(7, 5)","(None, None)","(2, 7)","(None, None)","(None, None)","(None, None)","(None, None)","(2, 3)","(None, None)","(None, None)",2030.5
2607,Rated Classical game,900+0,rnbq1kQ1/pp1pb2p/2p5/6P1/2B1P3/3P4/PPP2PP1/RNB1K2R b KQ - 0 13,13,Queen,white,mate,"(7, 4)","(0, 5)","(0, 6)","(0, 3)","(7, 0)","(0, 0)","(7, 7)","(None, None)","(4, 2)","(0, 2)","(7, 2)","(1, 4)","(7, 1)","(0, 1)","(None, None)","(None, None)",1509.5
2608,Rated Blitz tournament https://lichess.org/tournament/azCD6z8F,300+0,8/6Q1/2K5/8/7p/7k/P7/8 w - - 4 67,67,,black,outoftime,"(2, 2)","(5, 7)","(1, 6)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1581.0
2609,Rated Classical game,300+8,5rk1/1p3p1p/p1rp1PpQ/8/2P1P3/1P5P/P5P1/R4RK1 b - - 2 25,25,,white,resign,"(7, 6)","(0, 6)","(2, 7)","(None, None)","(7, 0)","(0, 5)","(7, 5)","(2, 2)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1235.5
2610,Rated Blitz tournament https://lichess.org/tournament/azCD6z8F,300+0,8/1P6/p7/8/6k1/1P4p1/P4q2/4r2K w - - 3 57,57,Rook,black,mate,"(7, 7)","(4, 6)","(None, None)","(6, 5)","(None, None)","(7, 4)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1662.5
2611,Rated Bullet game,120+1,r3r3/pb1p1k2/1p3P1p/2p1P1p1/3P2PP/8/PPPQ1R2/R1B3Kq w - - 1 26,26,Queen,black,mate,"(7, 6)","(1, 5)","(6, 3)","(7, 7)","(6, 5)","(0, 0)","(7, 0)","(0, 4)","(7, 2)","(1, 1)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1082.0
2612,Rated Classical game,480+0,8/2n5/1k6/4K3/8/8/8/8 b - - 0 56,56,,draw,draw,"(3, 4)","(2, 1)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(1, 2)","(None, None)","(None, None)",1806.0
2613,Rated Blitz game,300+0,8/8/8/8/3K4/2Q5/1k5P/8 b - - 3 56,56,,white,outoftime,"(4, 3)","(6, 1)","(5, 2)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1737.5
2614,Rated Bullet game,120+0,8/8/6k1/8/8/7K/8/8 b - - 0 41,41,,draw,draw,"(5, 7)","(2, 6)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1818.0
2615,Rated Blitz game,240+0,8/pp2kPpp/8/4P3/8/P5PP/KPP1nn2/3r2NR w - - 0 24,24,,black,outoftime,"(6, 0)","(1, 4)","(None, None)","(None, None)","(7, 7)","(7, 3)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(7, 6)","(6, 4)","(None, None)","(6, 5)",1242.0
2616,Rated Blitz game,180+0,8/5R1p/6pk/4p3/8/7P/R7/7K b - - 0 48,48,,white,outoftime,"(7, 7)","(2, 7)","(None, None)","(None, None)","(1, 5)","(None, None)","(6, 0)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",2026.0
2617,Rated Bullet tournament https://lichess.org/tournament/WhXK2rPu,60+0,8/7k/6p1/6Pp/7K/1pq4P/8/8 w - - 0 54,54,,draw,draw,"(4, 7)","(1, 7)","(None, None)","(5, 2)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",2037.5
2618,Rated Blitz game,180+0,1n5k/6p1/2pp2p1/8/p2PP2N/2P1Q1KP/2q5/8 b - - 5 34,34,,white,outoftime,"(5, 6)","(0, 7)","(5, 4)","(6, 2)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(4, 7)","(0, 1)","(None, None)","(None, None)",2076.5
2619,Rated Blitz game,180+0,2b2r1k/5p2/5Pp1/P7/6p1/6K1/7P/8 w - - 2 40,40,,black,resign,"(5, 6)","(0, 7)","(None, None)","(None, None)","(None, None)","(0, 5)","(None, None)","(None, None)","(None, None)","(0, 2)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1775.0
2620,Rated Blitz game,180+0,6k1/1b5p/6p1/4npP1/7P/2b2pK1/3r1P2/8 w - - 1 47,47,,black,outoftime,"(5, 6)","(0, 6)","(None, None)","(None, None)","(None, None)","(6, 3)","(None, None)","(None, None)","(None, None)","(1, 1)","(None, None)","(5, 2)","(None, None)","(3, 4)","(None, None)","(None, None)",1905.0
2621,Rated Blitz game,180+0,5r1r/1pb2Rk1/pq2p1p1/3p4/8/PB1P1Q1P/1PP3P1/5R1K b - - 0 23,23,,white,resign,"(7, 7)","(1, 6)","(5, 5)","(2, 1)","(1, 5)","(0, 5)","(7, 5)","(0, 7)","(5, 1)","(1, 2)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1954.0
2622,Rated Blitz tournament https://lichess.org/tournament/azCD6z8F,300+0,3R1Q2/1b2k3/2q1p3/p4p2/8/P4P1P/1P4P1/3R3K b - - 0 37,37,Queen,white,mate,"(7, 7)","(1, 4)","(0, 5)","(2, 2)","(0, 3)","(None, None)","(7, 3)","(None, None)","(None, None)","(1, 1)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1647.5
2623,Rated Blitz game,300+0,rn2kb1r/ppp2ppp/2q1bn2/1B2p3/8/2N2N2/PPP2PPP/R1BQR1K1 b kq - 7 10,10,,white,resign,"(7, 6)","(0, 4)","(7, 3)","(2, 2)","(7, 0)","(0, 0)","(7, 4)","(0, 7)","(3, 1)","(0, 5)","(7, 2)","(2, 4)","(5, 2)","(0, 1)","(5, 5)","(2, 5)",1635.5
2624,Rated Bullet game,60+0,r1bqkbnr/p1p2Qpp/2p5/8/2B5/8/PPPP1PPP/RNB1K2R b KQkq - 0 7,7,Queen,white,mate,"(7, 4)","(0, 4)","(1, 5)","(0, 3)","(7, 0)","(0, 0)","(7, 7)","(0, 7)","(4, 2)","(0, 2)","(7, 2)","(0, 5)","(7, 1)","(0, 6)","(None, None)","(None, None)",1241.5
2625,Rated Classical game,300+5,r2qk2r/ppp2pp1/2n1p1p1/3p4/1b1P2P1/1P1BPP1P/PBP2K2/R2n3R w kq - 0 14,14,,black,outoftime,"(6, 5)","(0, 4)","(None, None)","(0, 3)","(7, 0)","(0, 0)","(7, 7)","(0, 7)","(5, 3)","(4, 1)","(6, 1)","(None, None)","(None, None)","(2, 2)","(None, None)","(7, 3)",1588.5
2626,Rated Bullet game,60+0,r1b3r1/pppk2Np/8/3p2Q1/5B2/1PN5/PP4PP/2KR3R b - - 0 17,17,,white,outoftime,"(7, 2)","(1, 3)","(3, 6)","(None, None)","(7, 3)","(0, 0)","(7, 7)","(0, 6)","(4, 5)","(0, 2)","(None, None)","(None, None)","(1, 6)","(None, None)","(5, 2)","(None, None)",1245.5
2627,Rated Blitz game,60+10,8/8/7p/2n3pP/3p2P1/1k4P1/3K4/8 w - - 1 42,42,,black,resign,"(6, 3)","(5, 1)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(3, 2)","(None, None)","(None, None)",1566.5
2628,Rated Bullet game,60+0,3rr1k1/p1p2ppp/2p5/2b5/2P5/1PP3P1/P1QBb2P/R3Kq2 w Q - 0 23,23,Queen,black,mate,"(7, 4)","(0, 6)","(6, 2)","(7, 5)","(7, 0)","(0, 3)","(None, None)","(0, 4)","(6, 3)","(3, 2)","(None, None)","(6, 4)","(None, None)","(None, None)","(None, None)","(None, None)",1556.0
2629,Rated Blitz game,360+0,7k/7p/6p1/6b1/P4p2/1PP1pB1P/3r2P1/5RK1 b - - 0 40,40,,white,outoftime,"(7, 6)","(0, 7)","(None, None)","(None, None)","(7, 5)","(6, 3)","(None, None)","(None, None)","(5, 5)","(3, 6)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1533.5
2630,Rated Bullet tournament https://lichess.org/tournament/WhXK2rPu,60+0,8/p2k4/8/r7/4R3/6KP/8/8 b - - 7 57,57,,white,outoftime,"(5, 6)","(1, 3)","(None, None)","(None, None)","(4, 4)","(3, 0)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1939.0
2631,Rated Bullet tournament https://lichess.org/tournament/WhXK2rPu,60+0,8/5pk1/P5pp/8/3Pp3/1P3PPP/8/6K1 w - - 0 51,51,,black,outoftime,"(7, 6)","(1, 6)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1957.0
2632,Rated Bullet tournament https://lichess.org/tournament/WhXK2rPu,60+0,3k3R/1R6/8/p1p5/8/2P1P1P1/5PKP/8 b - - 4 40,40,Rook,white,mate,"(6, 6)","(0, 3)","(None, None)","(None, None)","(0, 7)","(None, None)","(1, 1)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",2292.5
2633,Rated Bullet tournament https://lichess.org/tournament/WhXK2rPu,60+0,4r1k1/5pp1/5n1p/8/3Q4/3RPB1b/r4qPP/3R3K w - - 2 25,25,,black,outoftime,"(7, 7)","(0, 6)","(4, 3)","(6, 5)","(5, 3)","(0, 4)","(7, 3)","(6, 0)","(5, 5)","(5, 7)","(None, None)","(None, None)","(None, None)","(2, 5)","(None, None)","(None, None)",1784.5
2634,Rated Bullet game,30+0,8/7p/2r3p1/p1p3k1/2p2pP1/5P1P/P5K1/4B3 b - - 0 43,43,,white,outoftime,"(6, 6)","(3, 6)","(None, None)","(None, None)","(None, None)","(2, 2)","(None, None)","(None, None)","(7, 4)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1644.5
2635,Rated Bullet game,45+3,r5k1/ppqn2pp/4p3/3pP1r1/2nP4/P1P5/2Q3PP/R3R1K1 w - - 0 20,20,,black,resign,"(7, 6)","(0, 6)","(6, 2)","(1, 2)","(7, 0)","(0, 0)","(7, 4)","(3, 6)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(1, 3)","(None, None)","(4, 2)",1527.0
2636,Rated Classical game,600+0,8/2R4p/p3k1pb/2B1p3/8/1PN4P/1nP1KP2/8 b - - 2 32,32,,white,resign,"(6, 4)","(2, 4)","(None, None)","(None, None)","(1, 2)","(None, None)","(None, None)","(None, None)","(3, 2)","(2, 7)","(None, None)","(None, None)","(5, 2)","(6, 1)","(None, None)","(None, None)",1527.0
2637,Rated Classical game,600+0,2q2k1Q/5p1p/3p2p1/p7/8/PP1RB2P/4KPP1/8 b - - 1 30,30,,white,resign,"(6, 4)","(0, 5)","(0, 7)","(0, 2)","(5, 3)","(None, None)","(None, None)","(None, None)","(5, 4)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1783.5
2638,Rated Correspondence game,-,3r2n1/1pk4p/2b1N1p1/6q1/1Q6/4P3/PPP2PPP/RN3RK1 b - - 2 25,25,,white,resign,"(7, 6)","(1, 2)","(4, 1)","(3, 6)","(7, 0)","(0, 3)","(7, 5)","(None, None)","(None, None)","(2, 2)","(None, None)","(None, None)","(2, 4)","(0, 6)","(7, 1)","(None, None)",1579.0
2639,Rated Classical game,600+0,q4b1r/p2n1kpp/8/8/8/2P5/P1b2PPP/R1B2K2 b - - 0 22,22,,black,resign,"(7, 5)","(1, 5)","(None, None)","(0, 0)","(7, 0)","(0, 7)","(None, None)","(None, None)","(7, 2)","(0, 5)","(None, None)","(6, 2)","(None, None)","(1, 3)","(None, None)","(None, None)",1627.5
2640,Rated Bullet game,120+0,4k2r/p1q3b1/4pBp1/1r1pPn1p/8/2P4R/2n2PPP/1N3RK1 w k - 4 24,24,,black,outoftime,"(7, 6)","(0, 4)","(None, None)","(1, 2)","(5, 7)","(0, 7)","(7, 5)","(3, 1)","(2, 5)","(1, 6)","(None, None)","(None, None)","(7, 1)","(3, 5)","(None, None)","(6, 2)",1645.5
2641,Rated Blitz game,180+0,r7/1R3pk1/7p/p5p1/1p3p2/8/7P/6K1 w - - 0 36,36,,black,outoftime,"(7, 6)","(1, 6)","(None, None)","(None, None)","(1, 1)","(0, 0)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1128.5
2642,Rated Blitz game,300+0,7k/5B1p/5n1Q/p2p4/8/p6P/1qP5/1K3R2 w - - 0 35,35,Queen,black,mate,"(7, 1)","(0, 7)","(2, 7)","(6, 1)","(7, 5)","(None, None)","(None, None)","(None, None)","(1, 5)","(None, None)","(None, None)","(None, None)","(None, None)","(2, 5)","(None, None)","(None, None)",1504.0
2643,Rated Blitz game,300+0,6R1/8/5k2/8/4K3/8/8/8 b - - 0 51,51,,white,resign,"(4, 4)","(2, 5)","(None, None)","(None, None)","(0, 6)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",2112.5
2644,Rated Classical game,600+0,8/1Qpk1p1p/p7/8/3KP3/3P4/PP6/5n2 b - - 0 40,40,,white,resign,"(4, 3)","(1, 3)","(1, 1)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(7, 5)","(None, None)","(None, None)",1558.0
2645,Rated Blitz game,300+0,6k1/ppp2pp1/3p3p/3P4/2Pp4/3P3P/Pq3PP1/4R1K1 w - - 0 19,19,,black,resign,"(7, 6)","(0, 6)","(None, None)","(6, 1)","(7, 4)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1224.5
2646,Rated Blitz game,300+0,8/1B3k1p/p3p3/1p3p2/8/8/PPP3PP/5RK1 b - - 1 29,29,,white,outoftime,"(7, 6)","(1, 5)","(None, None)","(None, None)","(7, 5)","(None, None)","(None, None)","(None, None)","(1, 1)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1592.0
2647,Rated Classical game,600+5,8/8/8/5p2/3Kp1p1/1Q4P1/3p4/3kr3 b - - 23 63,63,,draw,draw,"(4, 3)","(7, 3)","(5, 1)","(None, None)","(None, None)","(7, 4)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1482.5
2648,Rated Bullet game,120+1,r3kb1r/pp1nnpp1/1Bp1p1bp/3pP3/6P1/2NP1N1P/PPP2P2/R2QKB1R b KQkq - 0 10,10,,white,resign,"(7, 4)","(0, 4)","(7, 3)","(None, None)","(7, 0)","(0, 0)","(7, 7)","(0, 7)","(2, 1)","(0, 5)","(7, 5)","(2, 6)","(5, 2)","(1, 3)","(5, 5)","(1, 4)",1255.5
2649,Rated Blitz game,300+0,6k1/pp4pp/5p2/P7/8/1P5P/3r2q1/QR3RK1 w - - 7 34,34,Queen,black,mate,"(7, 6)","(0, 6)","(7, 0)","(6, 6)","(7, 1)","(6, 3)","(7, 5)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1278.0
2650,Rated Blitz game,300+0,2b4r/ppN1k2p/5p1b/3p4/4P3/2Pq1K2/6PP/7n w - - 0 23,23,Queen,black,mate,"(5, 5)","(1, 4)","(None, None)","(5, 3)","(None, None)","(0, 7)","(None, None)","(None, None)","(None, None)","(0, 2)","(None, None)","(2, 7)","(1, 2)","(7, 7)","(None, None)","(None, None)",1311.0
2651,Rated Blitz game,300+0,2kr4/ppp2p1p/4p3/3b4/8/6P1/PP2KP1P/6N1 w - - 2 20,20,,black,resign,"(6, 4)","(0, 2)","(None, None)","(None, None)","(None, None)","(0, 3)","(None, None)","(None, None)","(None, None)","(3, 3)","(None, None)","(None, None)","(7, 6)","(None, None)","(None, None)","(None, None)",1409.0
2652,Rated Blitz game,300+0,8/5K2/3k3P/8/5P2/8/8/8 b - - 0 55,55,,white,resign,"(1, 5)","(2, 3)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1563.5
2653,Rated Blitz game,180+0,8/7p/2p2pp1/1b6/5kP1/r7/3p1K2/4R3 w - - 2 61,61,,black,resign,"(6, 5)","(4, 5)","(None, None)","(None, None)","(7, 4)","(5, 0)","(None, None)","(None, None)","(None, None)","(3, 1)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",2038.0
2654,Rated Blitz game,420+1,rr4k1/1b1q1p2/4pP1Q/pp1pP3/2pN4/2P3PP/PPB5/R3K1R1 b - - 0 26,26,,white,resign,"(7, 4)","(0, 6)","(2, 7)","(1, 3)","(7, 0)","(0, 0)","(7, 6)","(0, 1)","(6, 2)","(1, 1)","(None, None)","(None, None)","(4, 3)","(None, None)","(None, None)","(None, None)",1671.5
2655,Rated Bullet game,60+1,3k4/3Qnq2/p2R3B/5P2/P6b/2P5/1P5P/5RK1 b - - 0 33,33,Queen,white,mate,"(7, 6)","(0, 3)","(1, 3)","(1, 5)","(2, 3)","(None, None)","(7, 5)","(None, None)","(2, 7)","(4, 7)","(None, None)","(None, None)","(None, None)","(1, 4)","(None, None)","(None, None)",1741.5
2656,Rated Bullet game,30+0,r5k1/pp4bp/4b1p1/2pBn3/2Pp3P/PP2r3/1KQ5/8 w - - 2 27,27,,black,outoftime,"(6, 1)","(0, 6)","(6, 2)","(None, None)","(None, None)","(0, 0)","(None, None)","(5, 4)","(3, 3)","(1, 6)","(None, None)","(2, 4)","(None, None)","(3, 4)","(None, None)","(None, None)",2038.0
2657,Rated Classical game,600+2,5Q1R/1b1pk3/2q1p3/p7/8/2P5/2Bp2PP/5RK1 b - - 0 33,33,Queen,white,mate,"(7, 6)","(1, 4)","(0, 5)","(2, 2)","(0, 7)","(None, None)","(7, 5)","(None, None)","(6, 2)","(1, 1)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1469.0
2658,Rated Blitz game,300+3,r2q1rk1/3n3Q/p3p1p1/2p1pbP1/Np1b4/1P1P1N2/P2P1P2/2B1K2R b K - 0 21,21,Queen,white,mate,"(7, 4)","(0, 6)","(1, 7)","(0, 3)","(7, 7)","(0, 0)","(None, None)","(0, 5)","(7, 2)","(3, 5)","(None, None)","(4, 3)","(4, 0)","(1, 3)","(5, 5)","(None, None)",1172.0
2659,Rated Classical game,900+15,rnb1k1nr/1ppp1ppp/5q2/4P3/1p2P3/5N2/PPP2PPP/RN1QKB1R b KQkq - 0 6,6,,white,outoftime,"(7, 4)","(0, 4)","(7, 3)","(2, 5)","(7, 0)","(0, 0)","(7, 7)","(0, 7)","(7, 5)","(0, 2)","(None, None)","(None, None)","(5, 5)","(0, 1)","(7, 1)","(0, 6)",1387.5
2660,Rated Blitz game,300+3,2rqk2r/4nppp/p2p4/1p2p3/3nP1b1/1B1Q1N2/PPP2PPP/R4RK1 b k - 3 15,15,,black,resign,"(7, 6)","(0, 4)","(5, 3)","(0, 3)","(7, 0)","(0, 2)","(7, 5)","(0, 7)","(5, 1)","(4, 6)","(None, None)","(None, None)","(5, 5)","(1, 4)","(None, None)","(4, 3)",1549.0
2661,Rated Blitz game,300+3,r3k2r/3pQppp/2N5/p7/8/P2b4/1P3PPP/2K5 b kq - 0 21,21,Queen,white,mate,"(7, 2)","(0, 4)","(1, 4)","(None, None)","(None, None)","(0, 0)","(None, None)","(0, 7)","(None, None)","(5, 3)","(None, None)","(None, None)","(2, 2)","(None, None)","(None, None)","(None, None)",1294.0
2662,Rated Blitz game,180+2,1Q6/8/3b3p/2p4P/8/pP2k3/P4p2/5Kr1 w - - 1 51,51,Rook,black,mate,"(7, 5)","(5, 4)","(0, 1)","(None, None)","(None, None)","(7, 6)","(None, None)","(None, None)","(None, None)","(2, 3)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1437.5
2663,Rated Blitz game,180+0,2R3k1/8/4N1BK/8/8/6b1/6P1/r7 b - - 2 44,44,Rook,white,mate,"(2, 7)","(0, 6)","(None, None)","(None, None)","(0, 2)","(7, 0)","(None, None)","(None, None)","(2, 6)","(5, 6)","(None, None)","(None, None)","(2, 4)","(None, None)","(None, None)","(None, None)",2066.5
2664,Rated Blitz game,180+0,3k4/2p4p/6p1/8/4KP1P/r3P3/2R5/1q6 w - - 4 39,39,,black,resign,"(4, 4)","(0, 3)","(None, None)","(7, 1)","(6, 2)","(5, 0)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1842.5
2665,Rated Blitz game,180+0,1q4k1/RR3ppp/4p3/2Pn4/3P4/3QP2P/5PP1/6K1 b - - 0 24,24,,white,resign,"(7, 6)","(0, 6)","(5, 3)","(0, 1)","(1, 0)","(None, None)","(1, 1)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(3, 3)","(None, None)","(None, None)",1595.5
2666,Rated Blitz game,180+0,8/7p/3k4/N3pp2/4n3/1P1KP3/6PP/B1R5 b - - 1 35,35,,white,outoftime,"(5, 3)","(2, 3)","(None, None)","(None, None)","(7, 2)","(None, None)","(None, None)","(None, None)","(7, 0)","(None, None)","(None, None)","(None, None)","(3, 0)","(4, 4)","(None, None)","(None, None)",1221.5
2667,Rated Blitz game,180+0,8/5kp1/1Rb4p/3np3/8/B3K1P1/r6P/8 w - - 2 39,39,,black,resign,"(5, 4)","(1, 5)","(None, None)","(None, None)","(2, 1)","(6, 0)","(None, None)","(None, None)","(5, 0)","(2, 2)","(None, None)","(None, None)","(None, None)","(3, 3)","(None, None)","(None, None)",2049.5
2668,Rated Blitz game,180+0,r6r/ppp3pp/k1n5/3n4/R7/1R3N2/P2B1PPP/6K1 b - - 18 23,23,,white,resign,"(7, 6)","(2, 0)","(None, None)","(None, None)","(4, 0)","(0, 0)","(5, 1)","(0, 7)","(6, 3)","(None, None)","(None, None)","(None, None)","(5, 5)","(2, 2)","(None, None)","(3, 3)",1677.5
2669,Rated Blitz game,180+0,8/8/5K2/2n1r3/3k4/8/1R6/8 b - - 2 62,62,,white,outoftime,"(2, 5)","(4, 3)","(None, None)","(None, None)","(6, 1)","(3, 4)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(3, 2)","(None, None)","(None, None)",1507.5
2670,Rated Blitz game,180+0,7k/p1R1R3/5r1p/4p3/1PP1P3/P5P1/5q1P/6K1 w - - 0 39,39,,black,resign,"(7, 6)","(0, 7)","(None, None)","(6, 5)","(1, 2)","(2, 5)","(1, 4)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",2015.5
2671,Rated Blitz game,180+0,1r6/pr3k2/2p1pP2/5p1p/8/Q3BP2/PP4BP/3RR1K1 w - - 3 31,31,,black,outoftime,"(7, 6)","(1, 5)","(5, 0)","(None, None)","(7, 3)","(0, 1)","(7, 4)","(1, 1)","(5, 4)","(None, None)","(6, 6)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1641.5
2672,Rated Blitz game,180+0,r6r/1Qpk4/p1np3p/4p3/4P3/2Pq4/PP1Nn3/2KR3R w - - 2 25,25,Knight,black,mate,"(7, 2)","(1, 3)","(1, 1)","(5, 3)","(7, 3)","(0, 0)","(7, 7)","(0, 7)","(None, None)","(None, None)","(None, None)","(None, None)","(6, 3)","(2, 2)","(None, None)","(6, 4)",1419.5
2673,Rated Classical game,1500+0,5rk1/5ppp/1p2p3/p2qP3/8/P3rPP1/1P2R2P/R3K3 w - - 0 27,27,,black,resign,"(7, 4)","(0, 6)","(None, None)","(3, 3)","(6, 4)","(0, 5)","(7, 0)","(5, 4)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1489.0
2674,Rated Bullet game,60+0,r1b3Qk/ppp2p2/3p3b/5P2/2PpP2r/N2P4/PP6/R3K1R1 b Q - 0 19,19,Queen,white,mate,"(7, 4)","(0, 7)","(0, 6)","(None, None)","(7, 0)","(0, 0)","(7, 6)","(4, 7)","(None, None)","(0, 2)","(None, None)","(2, 7)","(5, 0)","(None, None)","(None, None)","(None, None)",1275.0
2675,Rated Classical game,600+5,3b4/6pk/4n2p/3Q4/8/4P1PP/5PK1/8 b - - 0 38,38,,white,resign,"(6, 6)","(1, 7)","(3, 3)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(0, 3)","(None, None)","(None, None)","(None, None)","(2, 4)","(None, None)","(None, None)",1678.0
2676,Rated Blitz game,180+2,8/p2bkpQ1/4p1n1/2p1q1P1/3p4/P5P1/6PK/n7 w - - 0 34,34,,black,outoftime,"(6, 7)","(1, 4)","(1, 6)","(3, 4)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(1, 3)","(None, None)","(None, None)","(None, None)","(2, 6)","(None, None)","(7, 0)",1823.5
2677,Rated Blitz game,180+0,2k5/p1pb4/1p1p1p1r/5Kp1/2B1Pn2/P1B2P2/1PP5/3R4 w - - 6 36,36,,black,resign,"(3, 5)","(0, 2)","(None, None)","(None, None)","(7, 3)","(2, 7)","(None, None)","(None, None)","(4, 2)","(1, 3)","(5, 2)","(None, None)","(None, None)","(4, 5)","(None, None)","(None, None)",1615.0
2678,Rated Blitz tournament https://lichess.org/tournament/1q4FjeDi,180+0,6kR/2r5/p4Q2/3pP3/1PpP2P1/P3P2K/8/6q1 b - - 4 40,40,Rook,white,mate,"(5, 7)","(0, 6)","(2, 5)","(7, 6)","(0, 7)","(1, 2)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1600.5
2679,Rated Blitz tournament https://lichess.org/tournament/1q4FjeDi,180+0,2r2k2/ppq1bpr1/4N2p/4P3/5QP1/2P4P/PP5B/5RK1 b - - 0 27,27,,white,resign,"(7, 6)","(0, 5)","(4, 5)","(1, 2)","(7, 5)","(0, 2)","(None, None)","(1, 6)","(6, 7)","(1, 4)","(None, None)","(None, None)","(2, 4)","(None, None)","(None, None)","(None, None)",1890.0
