#data from https://doi.org/10.1371/journal.pntd.0001039.s001 Table S3
Strongyloides_contig_number,p-value,log2_(L3i/L1)_signal_ratio,annotation,PFAM_database_id,
1123,0.046476232,-0.63815,cs,Filamin,
1124,0.86610642,-0.06103,pm,Astacin,
1125,0.0013660604,-1.24057,st,Integrin_beta,
1126,0.36883398,-0.27653,tr,OATP,
1127,0.30893577,0.14525,unk,LAG1,
1128,0.0013439214,-1.24961,em,ATP-grasp_2,
1129,0.035102917,-0.42397,unk,Serpentine_recp,
1130,0.175548,-0.23761,em,Malic_M,
1131,0.00051638351,-1.58837,nr,KH_1,
1132,0.27504121,-0.41665,extmat,Collagen,
1133,0.0078062686,-0.75738,em,Nop14,
1134,0.41544954,-0.16246,extmat,Collagen,
1135,0.5730617,0.07891,ps,Ribosomal_S5_C,
1136,0.0077325407,-0.65907,nr,Chromo,
1137,0.12966272,-0.25641,prot,7tm_4,
1138,0.00099583665,1.56919,em,ADH_zinc_N,
1139,0.00012712485,1.69894,nr,G-alpha,
1140,0.60035258,-0.1513,ps,GCD14,
1141,0.013117704,0.63252,tr,Hydrolase,
1142,0.022809697,0.60437,st,Serpentine_recp,
1143,0.33274852,0.2087,unk,ORC3_N,
1144,0.32662204,0.40439,st,SH3_1,
1145,0.45982524,-0.19404,pm,Peptidase_C1,
1146,0.0421106,-0.6959,tr,DHO_dh,
1147,0.033098927,0.97946,st,FH2,
1148,0.0017271836,0.31499,unk,PPI_Ypi1,
1149,0.20863566,-0.2048,prot,Serpentine_recp,
1150,0.6859653,0.04267,met,ECH,
1151,3.21E-05,3.47188,unk,Gp-FAR-1,
1152,0.062369614,-0.24101,unk,Alliinase_C,
1153,2.44E-05,1.47014,pm,SPO22,
1154,0.83965175,0.02787,st,MH2,
1155,0.021287407,1.13531,unk,Serpentine_recp,
1156,0.044443888,0.4394,unk,DUF1751,
1157,0.28712913,0.08588,cs,P34-Arc,
1158,0.15168851,0.59664,cs,Ank,
1159,0.14253265,-0.14394,tf,GAL11,
1160,0.072850564,-0.39341,pm,APG6,
1161,0.0016964106,0.5394,unk,TMEM9,
1162,0.15896384,-0.20151,unk,YfhO,
1163,0.016235565,1.46466,st,Laminin_EGF,
1164,0.0017071913,-1.0044,met,Ion_trans,
1165,0.025434359,1.14979,st,Pkinase,
1166,0.024241183,1.22276,nr,SYF2,
1167,0.027202756,0.38177,unk,PBP,
1168,0.0071450036,2.11308,tr,CRM1_C,
1169,0.21227972,0.4864,pm,GDI,
1170,0.045024896,0.69087,pm,TSP_1,
1171,0.24234966,-0.4013,unk,Borrelia_orfA,
1172,0.48169988,0.09415,tr,Serpentine_recp,
1173,0.0079593439,-0.43027,tf,PHD,
1174,0.00019800745,1.3369,unk,DUF1201,
1175,0.73960939,0.04078,unk,GP120,
1176,0.23638249,0.16961,unk,7TMR-DISM_7TM,
1177,0.0084845406,-0.96761,pm,UBACT,
1178,0.0025427409,-1.77361,unk,EIAV_GP90,
1179,0.04487431,-0.26976,unk,7tm_2,
1180,0.099325386,-0.35887,met,Guanylate_kin,
1181,0.0008295156,-1.98736,unk,Mtc,
1182,0.0038138963,-1.3875,unk,K_tetra,
1183,0.025505483,0.70766,unk,Serpentine_recp,
1184,0.87162622,-0.01464,unk,VKG_Carbox,
1185,0.049753209,-0.29069,unk,DUF819,
1186,0.014632985,1.54544,unk,Serpentine_recp,
1187,0.010643897,1.49228,tm,7TMR-DISM_7TM,
1188,0.0072702734,-0.57805,unk,TPR_1,
1189,0.069521456,1.26271,pm,Vps4_C,
1190,0.0052131325,0.73634,unk,Plasmodium_Vir,
1191,0.0015912511,2.39977,unk,TatC,
1192,0.02613234,-0.40246,pm,DUF1430,
1193,0.92368852,0.01463,nr,SWIB,
1194,0.0049242244,-1.27522,unk,Tetraspannin,
1195,0.090236708,-0.37864,met,DUF1154,
1196,0.037074544,1.25251,unk,WD40,
1197,0.030231043,-0.69906,unk,An_peroxidase,
1198,0.0033754441,-1.15513,nr,DUF1312,
1199,2.35E-05,0.971,st,EGF_2,
1200,0.00026492562,3.02871,prot,UQ_con,
1201,0.85802598,0.0293,met,Ubie_methyltran,
1202,9.74E-05,2.35305,unk,DUF443,
1203,0.13603223,-0.1624,pm,Peptidase_M16_C,
1204,0.012099575,0.59651,unk,7tm_4,
1205,0.00038788579,1.72307,unk,DUF1237,
1206,0.33711744,0.14531,unk,LMBR1,
1207,0.0013706223,-1.34298,unk,Serpentine_recp,
1208,0.028129195,-0.44602,unk,7tm_4,
1209,0.031877861,-0.685,unk,TatC,
1210,0.43694976,-0.33714,unk,Serpentine_recp,
1211,0.026613401,-0.36484,ps,Ribosomal_S14,
1212,0.0063533283,-0.4417,met,Cytochrom_B_N,
1213,0.078442972,-0.18387,unk,Dynein_heavy,
1214,0.0072681853,0.80585,pm,Calpain_III,
1215,0.0021162569,-1.5382,tr,Orthoreo_P17,
1216,0.10562202,-0.30636,met,NERD,
1217,0.77518378,0.0616,tf,TFIIA,
1218,0.00010453375,2.18862,unk,GRP,
1219,0.0011932201,0.68308,tr,CBS,
1220,0.0087199263,1.65588,nr,Glucokinase,
1221,0.11207988,0.35931,tr,YfhO,
1222,0.00059758972,3.16254,unk,DIE2_ALG10,
1223,0.077236198,0.19765,unk,WD40,
1224,0.053629128,1.56846,met,PGAM,
1225,0.00054999637,-0.99949,unk,Pkinase,
1226,0.0021084426,1.39761,ps,Synaphin,
1227,0.18415548,0.2312,tr,Zip,
1228,0.051921888,-0.61923,st,ArfGap,
1229,0.0022085419,1.62795,met,Glycolytic,
1230,0.0067118114,-1.09911,pm,Peptidase_C1,
1231,0.37213046,0.26942,unk,SKG6,
1232,0.44130101,-0.16023,nr,DUF1777,
1233,0.041829633,-0.48313,unk,Bse634I,
1234,0.93889372,0.00924,met,GCV_H,
1235,0.089306269,0.32922,unk,Ldl_recept_a,
1236,0.0024151357,-0.85923,tf,Prox1,
1237,0.053611042,0.6693,unk,DUF1361,
1238,8.30E-05,2.42249,unk,DUF290,
1239,0.58036965,-0.06243,st,Pkinase,
1240,0.060313849,1.08546,tr,DUF443,
1241,0.15190215,0.77301,st,C2,
1242,0.10588095,0.18327,st,CS,
1243,0.21292346,-0.32937,pm,Peptidase_M3,
1244,0.0067863356,0.98342,cs,TRP,
1245,0.02870397,1.25984,cs,Ank,
1246,2.60E-05,2.38265,unk,Rota_NS53,
1247,0.0017235504,-1.45603,unk,7TMR-DISM_7TM,
1248,0.0086039548,-1.02794,st,PP2C,
1249,0.085371666,0.27836,unk,DUF727,
1250,0.080107066,1.01343,tr,Serpentine_recp,
1251,0.032029873,-0.38122,ps,W2,
1252,0.020724675,0.3987,unk,Herpes_ORF63,
1253,0.22814832,0.39502,st,Oxysterol_BP,
1254,0.023936108,0.56838,unk,PBP,
1255,0.019075164,-0.82319,tr,OST3_OST6,
1256,0.037080663,0.63277,pm,Aminotran_1_2,
1257,0.00041624388,-0.83772,st,UPF0132,
1258,0.0060301384,-1.19232,unk,TCH,
1259,0.037507308,-0.57923,cs,LIM,
1260,0.40203597,-0.21792,unk,GAL11,
1261,0.0016633494,-1.34077,tr,ABC_membrane,
1262,0.00045096085,-1.71687,tm,GRP,
1263,0.86218818,0.01222,unk,Pox_E2,
1264,0.67427317,0.042,nr,DUF1963,
1265,0.075772268,-0.53131,unk,tRNA_lig_trans,
1266,0.011707584,-1.16298,unk,Zona_pellucida,
1267,0.060576799,-0.71132,unk,Allexi_40kDa,
1268,0.13219542,0.18926,em,NDUFA12,
1269,0.013924023,-0.80478,ps,Pkinase,
1270,0.11008342,0.95294,unk,Glyco_transf_52,
1271,0.73640764,-0.03152,unk,GAL11,
1272,0.013038532,0.77959,em,ATP-synt_C,
1273,0.0013781262,-1.55065,met,Epimerase,
1274,0.022197084,-0.48455,nr,Endostatin,
1275,0.3302262,-0.15309,tr,ATP-cone,
1276,0.0033792785,-1.08996,st,Pkinase,
1277,0.0028805223,-1.39356,tf,HLH,
1278,0.0076944607,-0.89133,cs,Tubulin,
1279,0.063444942,-0.2256,unk,BAF1_ABF1,
1280,0.0010759845,-1.69482,tr,Cation_efflux,
1281,0.00026887804,-1.84526,unk,7tm_4,
1282,0.13993186,-0.39199,cs,Acid_phosphat_A,
1283,0.0009852932,1.53639,nr,Serpentine_recp,
1284,0.0096207215,0.90077,nr,Caldesmon,
1285,0.0061023965,-0.86601,met,Mtap_PNP,
1286,0.090509465,-0.29373,ps,eIF3_N,
1287,0.00068111784,0.67736,unk,PalH,
1288,0.00056643364,0.73411,pm,RNA_polI_A34,
1289,0.41376149,0.12377,ps,Svf1,
1290,0.013668557,-0.56772,met,Glyco_hydro_47,
1291,0.24077036,-0.33365,pm,Band_7,
1292,0.22842154,0.21081,st,Y_phosphatase,
1293,0.0010210289,-1.31823,st,DMP1,
1294,0.21042691,-0.21732,ps,HGTP_anticodon,
1295,0.023956522,-1.15928,nr,Intg_mem_TP0381,
1296,0.14353467,0.37478,unk,DUF477,
1297,0.00017656179,-1.56622,unk,Serpentine_recp,
1298,0.097552326,-0.29043,em,NiFeSe_Hases,
1299,0.080766536,-0.2517,unk,Nucleoporin2,
1300,0.0037223507,-0.74687,em,Biotin_lipoyl,
1301,0.36353943,-0.21693,cs,Myosin_tail_1,
1302,0.011782011,-0.96211,nr,DNA_gyraseB,
1303,0.0073151835,-0.81936,unk,NOA36,
1304,0.54606931,-0.20613,extmat,Mucin,
1305,0.24485143,-0.31231,st,Ank,
1306,0.79738561,-0.01825,em,CPSase_L_chain,
1307,0.27787657,-0.15519,st,FH2,
1308,0.00056055221,-0.59863,em,ATP_synt_H,
1309,0.012039054,-0.71167,unk,Pox_N2L,
1310,0.12544104,-0.24969,nr,Atrophin-1,
1311,0.0053666637,2.01632,unk,Gpi1,
1312,0.0029150252,-0.81829,st,Ins145_P3_rec,
1313,0.1305529,-0.44189,unk,SKN1,
1314,0.00051031785,-1.3551,pm,CD47,
1315,0.011977463,2.12138,nr,zf-C2H2,
1316,0.34858459,-0.10364,met,DUF1361,
1317,0.078845382,-0.58267,tf,HSF_DNA-bind,
1318,0.0071152422,-1.00103,met,NTP_transferase,
1319,0.33487167,-0.11892,met,NAD_binding_2,
1320,0.0021862802,-0.85018,extmat,Collagen,
1321,0.00060173629,0.68952,em,Biotin_carb_C,
1322,0.0072044609,1.43667,met,TIM,
1323,0.0028920113,-0.84708,met,Aminotran_1_2,
1324,0.001331357,-1.53503,st,Metallophos,
1325,0.0072364659,-0.27831,cs,TolA,
1326,0.13799954,-0.07016,nr,FtsJ,
1327,0.0049538945,1.19137,nr,Glutenin_hmw,
1328,0.0042650639,1.01539,em,Mito_carr,
1329,0.00080276912,0.9551,nr,DUF1421,
1330,0.0011912143,-0.69536,unk,CgtA,
1331,0.00660293,-0.56264,unk,COesterase,
1332,0.062936516,-0.47412,unk,Sre,
1333,0.0018993566,-1.33451,unk,COPI_assoc,
1334,0.004868096,-0.75808,ps,tRNA-synt_1d,
1335,0.033799937,-0.56123,unk,Competence,
1336,0.0047042728,-0.91789,met, ,
1337,0.0034434202,-0.64868,unk,Ldh_2,
1338,0.0014925329,-0.99092,unk,Lactamase_B,
1339,0.015439767,-0.84033,unk,MGC-24,
1340,0.026321264,-0.28793,st,Pkinase,
1341,0.020654177,-0.34749,unk,HIG_1_N,
1342,0.89715271,-0.0103,unk,Oxidored_q1,
1343,0.00043973238,-1.43452,tm,SNF2_N,
1344,0.12012902,-0.28259,unk,Intg_mem_TP0381,
1345,0.012140547,0.99255,unk,TMEM9,
1346,0.018872916,-0.84957,st,DUF1777,
1347,0.013540152,-0.90622,pm,eIF-4B,
1348,0.020582087,-0.42856,tr,YccV-like,
1349,0.0013840529,-1.38242,st,Pkinase,
1350,0.77774441,-0.0437,pm,I-set,
1351,0.0025714153,-1.28579,unk,DNA_pol3_alpha,
1352,0.015204446,0.83859,unk,Gp-FAR-1,
1353,0.54310699,0.07682,pm,Cullin,
1354,0.00047505449,0.43354,met,Iso_dh,
1355,0.63348092,0.12972,met,Iso_dh,
1356,0.00078956381,2.98206,met,TIM,
1357,0.0020423634,-1.21739,unk,MpPF26,
1358,0.19777689,0.09692,tm,CD47,
1359,0.058692608,0.33927,met,Radical_SAM,
1360,0.000671393,0.97942,st,DUF443,
1361,0.002917654,2.15634,unk,ELO,
1362,0.0006966541,-1.36389,nr,TatC,
1363,0.025110139,-0.63637,met,GTP_cyclohydroI,
1364,0.090137267,-0.29774,unk,F-actin_cap_A,
1365,0.0062262873,0.71922,unk,Chorion_1,
1366,0.56582616,0.08366,ps,Brix,
1367,0.096283973,-0.2819,st,PIP5K,
1368,0.63946884,-0.08137,tr,Coatomer_E,
1369,0.02341253,-0.49156,unk,Neogenin_C,
1370,0.98363593,0.00221,unk,Serpentine_recp,
1371,0.22499021,-0.34024,unk,Serpentine_recp,
1372,0.0019772871,-0.66056,unk,OmpH,
1373,0.0073898894,0.69025,prot,Mlo,
1374,0.38401482,0.16204,tr,BSD,
1375,0.09127193,0.36312,unk,Phage_rep_O,
1376,0.13196039,0.90177,met,Serpentine_recp,
1377,0.0077855384,1.06715,st,PAP1,
1378,0.025174632,-0.46221,unk,DUF1649,
1379,0.24328796,0.1587,imm,Rhodanese,
1380,0.59192701,0.16813,unk,DUF155,
1381,0.75658461,0.05417,st,Tenui_PVC2,
1382,0.27409417,-0.18745,unk,CGI-121,
1383,0.080461807,0.60362,met,Thiolase_C,
1384,0.074991533,-0.21224,tr,Papilloma_E5A,
1385,0.0018394666,-0.84138,unk,Hormone_recep,
1386,0.0011378663,-1.44559,unk,GN3L_Grn1,
1387,0.012392922,1.85968,prot,UQ_con,
1388,0.00037040673,1.46517,unk,VAR1,
1389,0.035437143,0.80907,nr,AMO,
1390,0.068799578,1.16975,unk,AhpC-TSA,
1391,0.0091062633,-0.73111,unk,DUF2031,
1392,0.048563504,0.53481,st,Y_phosphatase,
1393,0.0200514,-0.89224,pm,AAA,
1394,0.029095897,-0.61664,tr,TatC,
1395,0.026139143,-0.38331,tr,ADK,
1396,0.26633049,0.13005,tr,ADK,
1397,0.0058168572,-1.13633,tm,Pterin_4a,
1398,0.0076672971,0.92753,unk,7TMR-DISM_7TM,
1399,0.00029640245,-1.05549,nr,mRNA_cap_enzyme,
1400,0.43260755,0.08662,tm,RNA_pol_Rpb4,
1401,0.010005329,-0.9331,nr,Serpentine_recp,
1402,0.055022184,-0.3871,unk,RNA_pol_Rpc34,
1403,0.28315562,0.06428,unk,7TMR-DISM_7TM,
1404,0.022549123,-0.52633,ps,Nop,
1405,0.0030634364,-1.16903,nr,DUF1975,
1406,0.00013415066,-1.73897,unk,Serpentine_recp,
1407,0.10621233,0.23242,ps,Helicase_C,
1408,0.0078902041,-0.87387,tf,Skp1_POZ,
1409,0.41516431,0.16778,pm,HGD-D,
1410,0.077289656,0.53043,tm,Ribosomal_L7Ae,
1411,0.11469904,0.52343,pm,AAA,
1412,0.0055826979,-0.68427,unk,Serpentine_recp,
1413,0.00081066642,-1.63377,unk,IL17,
1414,0.030719575,-0.51913,nr,CLAG,
1415,0.2628781,0.06047,nr,G-patch,
1416,3.59E-05,-1.45797,cs,SDA1,
1417,0.0057857892,2.11491,ps,PCI,
1418,0.0017304494,0.96277,unk,Spore_YabQ,
1419,0.025498828,-0.59015,cs,Drf_FH1,
1420,0.0070522569,0.98093,unk,Serpentine_recp,
1421,0.0010804845,-1.42125,st,efhand,
1422,0.00069586535,-0.91985,unk,Lipoprotein_14,
1423,0.0026120636,-0.7032,unk,Serpentine_recp,
1424,0.50411135,-0.06601,unk,PAN_1,
1425,0.00079884067,-1.78887,tr,Cation_efflux,
1426,0.011997608,-0.42039,ps,TruB_N,
1427,0.0002405347,-1.50355,extmat,Collagen,
1428,0.015060679,0.60182,met,FBPase,
1429,0.0036388032,-0.60235,nr,CD47,
1430,0.0085570883,-0.87149,nr,KH_1,
1431,0.084749618,-0.47133,st,PDZ,
1432,0.012538899,-0.97574,unk,ORC6_2,
1433,0.31358925,-0.25903,met,adh_short,
1434,0.057736788,-0.70371,tr,DUF165,
1435,0.011175389,0.68817,st,TraB_pillus,
1436,0.03808181,-0.15042,met,Acyl-CoA_dh_M,
1437,0.58263889,-0.07319,met,Acyl-CoA_dh_1,
1438,0.072272721,0.52899,tf,LIM_bind,
1439,0.00031769162,2.68042,em,PEPCK,
1440,0.02289468,-0.35283,nr,Mad3_BUB1_I,
1441,0.23663424,-0.20729,unk,Zona_pellucida,
1442,0.0067292915,-0.87783,unk,Yip1,
1443,0.00075449586,-1.11651,unk,Red1,
1444,0.0046741003,-0.62067,tf,TIP49,
1445,0.003001458,1.72613,tr,Synaptobrevin,
1446,0.30465162,0.1237,unk,Toxin_R_bind_C,
1447,0.017443049,0.99012,pm,ALG3,
1448,0.17887445,-0.41965,extmat,Vinculin,
1449,0.020806192,-0.45097,unk,DUF869,
1450,0.56890715,0.11361,met,Herpes_env,
1451,0.017285661,-0.51652,met,TPP_enzyme_N,
1452,0.16425476,0.27217,tr,SecY,
1453,0.31814187,0.14608,met,Lipase_3,
1454,0.0013067148,-1.2141,st,LRR_1,
1455,0.030766113,0.42987,unk,Peptidase_M24,
1456,0.89222075,0.01485,cs,Actin,
1457,0.83776445,-0.04725,unk,WD40,
1458,0.37363843,-0.0683,unk,Rep_trans,
1459,0.32423667,0.3877,unk,UPF0057,
1460,0.007418917,1.82152,cs,EzrA,
1461,0.40760881,0.24589,imm,Vps5,
1462,0.0023771287,-1.15171,tf,ADH_zinc_N,
1463,0.28871256,0.15344,st,UPF0259,
1464,0.032811848,-0.44048,nr,CDC37_C,
1465,0.047884905,1.25092,pm,GSHPx,
1466,0.010713249,1.05479,unk,FYVE,
1467,0.069434468,-0.2808,met,7TMR-DISM_7TM,
1468,0.002650465,2.83729,pm,PCI,
1469,0.0011274435,-1.2085,nr,RRM_1,
1470,0.087401819,-0.43647,tr,Aa_trans,
1471,0.02535038,0.6838,pm,AAA,
1472,0.00035865537,-0.28384,prot,UCH,
1473,9.39E-05,3.21522,met,Phosphorylase,
1474,0.029685121,-0.50404,met,Glyoxalase,
1475,1.93E-05,2.23008,tr,Serpentine_recp,
1476,0.10877802,0.45512,tr,V-SNARE,
1477,0.011997331,-0.37139,em,Aldedh,
1478,0.00027990736,2.05304,tf,Fork_head,
1479,0.1065388,-0.39316,st,RhoGAP,
1480,0.00067447716,-1.10828,nr,RRM_1,
1481,0.00026157096,-1.34327,unk,7tm_4,
1482,0.00055091337,-0.76662,unk,Aa_trans,
1483,0.0001737891,-1.59032,unk,Borrelia_orfA,
1484,0.061468276,0.37991,em,L51_S25_CI-B8,
1485,0.024518227,1.45116,ps,EFG_C,
1486,0.016076577,-0.82314,tr,V-SNARE,
1487,0.096039092,0.21912,unk,Pox_ser-thr_kin,
1488,0.00095456346,-1.68426,tr,IRK,
1489,0.05512555,0.32425,tm,Ribosomal_S14,
1490,0.035347766,0.95338,st,Caldesmon,
1491,0.0087186874,0.80992,met,CTP_transf_1,
1492,0.4749375,0.15178,cs,efhand,
1493,0.00011686705,0.82478,cs,Tropomodulin,
1494,0.086667813,-0.12699,unk,Arylesterase,
1495,0.026060854,0.174,st,PRKCSH,
1496,0.053880779,-0.32019,tm,Ribosomal_L29e,
1497,0.038470776,1.2622,nr,RBD-FIP,
1498,0.017466997,-0.54078,met,Hus1,
1499,0.71771442,-0.0575,tr,Snf7,
1500,0.0046117954,-0.53981,unk,SSP160,
1501,0.0012635735,1.12837,em,Cytochrom_B561,
1502,0.021686173,0.75419,tm,RNA_pol_Rpb6,
1503,0.64723818,-0.09094,nr,DCP1,
1504,0.0082520987,-0.91424,tr,TatC,
1505,3.78E-05,-1.49028,unk,TatC,
1506,4.80E-05,0.95078,nr,TLD,
1507,0.01412415,-0.52493,unk,RTA1,
1508,0.78906423,0.06893,nr,Sec1,
1509,0.029443956,-0.3102,unk,COBRA1,
1510,0.010743931,0.81414,nr,Histone,
1511,0.042115825,-0.42971,tm,DUF1777,
1512,0.27776232,-0.13476,met,Pex19,
1513,0.00026027891,1.50449,tm,Serpentine_recp,
1514,0.0369581,-0.66881,tr,Orthopox_C1,
1515,0.68770642,0.06564,pm,Kunitz_BPTI,
1516,0.00023904961,2.35169,nr,Cyclin_N,
1517,0.028618131,0.26933,met,Guanylate_kin,
1518,0.1367569,0.32893,unk,Arteri_env,
1519,0.00036606375,2.6259,pm,Peptidase_C1,
1520,0.051101519,1.14029,met,ECH,
1521,0.00031392041,1.19005,unk,GAL11,
1522,0.0040403971,1.7233,met,SCP2,
1523,0.49834443,-0.10622,pm,Nucleos_tra2_C,
1524,0.0023668467,1.95602,pm,HSP90,
1525,0.0016180721,-1.00432,unk,Epimerase,
1526,0.0025397353,-0.17609,unk,Coiled,
1527,0.091647755,0.73662,pm,SAC3_GANP,
1528,0.75397244,-0.04318,st,DUF300,
1529,0.032205497,0.47449,tr,Coatamer_beta_C,
1530,0.0087080284,-0.95477,cs,efhand,
1531,0.0029401302,0.52611,met,Hydrolase,
1532,0.20033068,-0.54654,tr,Plasmid_parti,
1533,0.0046795388,0.94303,nr,Mob1_phocein,
1534,0.6578599,0.07561,unk,Acyl_transf_3,
1535,0.18680714,0.17162,nr,WD40,
1536,0.67421122,0.05813,em,Competence,
1537,0.48788566,0.08722,unk,SBP_bac_3,
1538,0.096605578,-0.51798,pm,Cpn60_TCP1,
1539,0.5312768,0.03432,em,FAD_binding_2,
1540,0.1812905,-0.11909,tr,ABC_tran,
1541,0.11699734,-0.43107,pm,AAA,
1542,0.51416803,0.072,unk,zf-C4_Topoisom,
1543,0.56781288,0.10972,unk,Ald_Xan_dh_C2,
1544,0.18820779,0.11228,unk,BPD_transp_1,
1545,0.001625729,-1.13677,unk,CobT,
1546,0.9027001,0.0161,met,S-AdoMet_synt_N,
1547,0.70111044,0.03609,unk,3-alpha,
1548,0.081997411,-0.09609,pm,Cpn60_TCP1,
1549,0.13373882,0.42583,unk,Holin_BlyA,
1550,0.21340251,0.80832,unk,FTSW_RODA_SPOVE,
1551,0.098574026,0.32257,met,Phosphorylase,
1552,0.36754473,0.1418,unk,Patched,
1553,0.3436169,0.22046,unk,PHP,
1554,0.5422323,-0.13332,em,ATP-synt_ab,
1555,0.059961194,0.31328,met,PGI,
1556,0.033750786,0.65514,cs,DUF869,
1557,0.002328226,-1.34107,pm,Cpn60_TCP1,
1558,0.013918124,-0.86934,ps,GTP_EFTU,
1559,0.71720344,0.05059,em,FAD_binding_2,
1560,0.00091199847,1.91554,pm,AAA,
1561,0.1709392,-0.18767,unk,UPF0328,
1562,0.71736768,0.03101,unk,SepL_SsaL,
1563,0.36278516,0.0774,pm,HSP70,
1564,0.64070221,0.0713,unk,Usher,
1565,0.015487091,-0.99439,ps,GTP_EFTU,
1566,0.12651644,-0.3497,pm,AAA,
1567,0.59557682,0.10802,unk,Plug,
1568,0.57597297,-0.09403,met,Catalase,
1569,0.96912262,-0.00559,em,ATP-synt_ab,
1570,0.58941309,0.07196,met,Peptidase_M17,
1571,4.26E-05,2.30023,pm,Pro_isomerase,
1572,0.93401665,-0.00724,unk,Glyco_transf_9,
1573,0.31469839,0.18285,tm,RNA_pol_Rpb2_6,
1574,0.065368189,0.56604,pm,Lon_C,
1575,0.0003363675,-1.19175,unk,Serpentine_recp,
1576,0.50230801,0.08725,unk,SBP_bac_1,
1577,0.77542847,0.0337,unk,NMT1,
1578,0.048644639,1.18895,em,ATP-synt_ab_C,
1579,0.48368059,0.09028,unk,Peptidase_M42,
1580,0.28869996,0.19034,tr,Amidohydro_1,
1581,0.18557827,-0.3974,tr,Pribosyltran,
1582,0.0011209736,0.91622,met,Gp_dh_C,
1583,0.014462819,-0.4689,met,Iso_dh,
1584,0.60963406,0.04354,st,I-set,
1585,0.18971965,-0.16344,ps,tRNA-synt_2c,
1586,0.075452209,0.29471,unk,DUF605,
1587,0.074954763,-0.49515,extmat,Gal-bind_lectin,
1588,0.026956591,-0.86798,unk,Nucleoporin,
1589,0.0013130853,-0.56874,unk,DUF689,
1590,0.73412141,0.03836,cs,Actin,
1591,0.08537496,0.66258,pm,Pox_int_trans,
1592,0.8999152,-0.01168,nr,Hist_deacetyl,
1593,0.30227381,0.32755,tm,Ribosomal_L13,
1594,0.002281667,-0.98396,unk,Peptidase_A22B,
1595,0.66921305,0.055,tm, ,
1596,0.050500054,-0.2925,st,DUF300,
1597,0.50874166,-0.11543,pm,Pro_isomerase,
1598,0.73457108,0.04258,nr,Histone,
1599,0.094429441,-0.62048,st,SH3_1,
1600,0.42763995,-0.08317,nr,Ribosomal_L4,
1601,0.1025552,0.3399,tf,NAC,
1602,0.72766741,0.02597,em,NO_synthase,
1603,0.001785964,-1.80901,unk,DUF803,
1604,0.40254249,-0.13227,unk,BAF1_ABF1,
1605,0.02063948,-0.58918,cs,Serpentine_recp,
1606,0.75373938,0.06626,met,3HCDH_N,
1607,0.20504997,-0.31258,unk,Pox_int_trans,
1608,0.00060280637,2.81122,unk,SCP,
1609,0.00098875466,-1.1505,unk, ,
1610,0.0039696066,-1.08528,unk,DUF226,
1611,0.0001195179,1.86671,ps,GTP_EFTU_D3,
1612,0.0010873225,-1.46573,ps,Pkinase,
1613,0.0040789516,-1.12097,tf, ,
1614,0.007446123,-1.05627,unk,Serpentine_recp,
1615,0.0020286821,2.65118,nr,RRM_1,
1616,0.00060616137,-1.42002,st,PRK,
1617,0.013133998,-0.48027,unk,DUF1673,
1618,0.022920869,-0.79358,unk,Serpentine_recp,
1619,0.0031471121,-1.34132,unk,Ycf4,
1620,0.0070613276,-0.67212,cs,Serpentine_recp,
1621,0.021156859,0.39059,em,CybS,
1622,0.042301997,0.56826,tm,Ribosomal_L3,
1623,0.048328812,1.87141,met,Glutaminase,
1624,0.0026729787,-1.50682,pm,scADH,
1625,0.0043386671,-1.16467,st,OTU,
1626,0.041606735,-1.15604,unk,DAO,
1627,0.010624072,-0.84271,pm,IBR,
1628,0.0039479279,-1.46245,unk,FAD_binding_3,
1629,0.0012341217,-1.31618,cs,Tropomyosin,
1630,0.024288519,-0.98403,cs,DLIC,
1631,0.006759602,-1.43508,unk,Melibiase,
1632,0.0003210575,-1.10403,cs,Ras,
1633,0.00017635289,-0.56416,imm,Abhydrolase_3,
1634,0.0075416461,-0.64392,tf,HAND,
1635,0.0017978116,1.09969,pm,COX1,
1636,0.1031106,-0.43519,unk,HAP1_N,
1637,0.1660844,0.56823,unk,Cas1p,
1638,0.55071209,0.08971,unk,Glycoprotein_B,
1639,0.087793946,0.4597,unk,zf-DHHC,
1640,0.28094098,-0.30837,ps,tRNA-synt_2b,
1641,0.032122656,1.41862,unk,7tm_7,
1642,0.23435662,0.26767,pm,Viral_Hsp90,
1643,0.89516862,-0.02707,met,Peptidase_M17,
1644,0.029410319,-0.2734,tr,SRP-alpha_N,
1645,0.93361787,-0.02051,cs,CH,
1646,0.00046453724,-1.09552,unk,DUF456,
1647,0.26386452,-0.21307,tm,Ribosomal_L19e,
1648,0.00023357855,1.47922,em,DUF1297,
1649,0.035783727,-0.44025,unk,Serpentine_recp,
1650,0.27165247,0.32099,unk,UPF0183,
1651,0.0025630709,-0.95952,unk,Pox_ser-thr_kin,
1652,0.008939163,-0.62272,met,Glyco_transf_20,
1653,0.0019054845,-1.08453,unk,CD47,
1654,0.0025734358,-1.42185,st,C1_1,
1655,0.17873827,-0.22175,unk,DUF719,
1656,0.0016661497,-1.75638,unk,DUF1368,
1657,0.026651208,-0.38888,tm,Ribosomal_S6e,
1658,0.57933776,0.08443,tr,Clathrin_propel,
1659,0.0019339606,0.78393,unk,DUF1765,
1660,0.077348214,-0.47183,st,Pkinase,
1661,0.41200976,-0.23989,tr,ENT,
1662,0.015416767,-0.80724,cs,Spectrin,
1663,0.11157439,-0.23272,em,AA_permease,
