DRG Definition,Provider State, Total Discharges ,Average Covered Charges,Average Total Payments,Average Medicare Payments
357 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,MI,388,"$41,486.00 ","$15,610.37 ","$13,543.97 "
357 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,OH,403,"$49,273.47 ","$14,515.00 ","$12,154.62 "
357 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,IL,479,"$56,911.34 ","$15,542.58 ","$13,256.41 "
357 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,PA,489,"$72,212.61 ","$15,752.76 ","$12,557.93 "
357 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,NY,560,"$65,600.83 ","$19,265.14 ","$16,682.28 "
357 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,TX,698,"$68,533.97 ","$13,981.25 ","$11,683.22 "
357 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,FL,741,"$80,956.53 ","$13,381.53 ","$11,799.56 "
357 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,CA,828,"$89,926.93 ","$19,521.58 ","$17,058.47 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,ME,12,"$22,764.67 ","$10,664.83 ","$6,505.50 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,DC,13,"$41,994.77 ","$12,504.54 ","$9,234.23 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,ID,13,"$45,765.69 ","$8,896.46 ","$7,374.08 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,NE,13,"$32,962.54 ","$8,483.23 ","$7,258.38 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,OR,14,"$42,171.14 ","$13,108.50 ","$10,416.00 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,NH,15,"$37,366.93 ","$12,644.00 ","$8,652.53 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,WV,15,"$40,638.13 ","$11,357.00 ","$8,117.73 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,CO,16,"$35,183.06 ","$9,734.75 ","$7,087.94 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,NV,16,"$79,951.44 ","$10,877.38 ","$8,964.19 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,KY,19,"$46,637.47 ","$9,852.37 ","$7,723.95 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,KS,20,"$49,348.50 ","$9,155.45 ","$5,878.50 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,MS,21,"$36,013.76 ","$8,417.76 ","$6,749.62 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,AZ,22,"$47,571.14 ","$12,437.32 ","$8,894.05 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,IA,24,"$37,922.25 ","$9,494.50 ","$8,107.33 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,WI,24,"$34,651.00 ","$9,745.54 ","$7,784.21 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,AR,27,"$35,473.15 ","$8,456.78 ","$7,345.22 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,CT,27,"$34,358.59 ","$12,981.52 ","$8,700.00 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,LA,27,"$54,021.22 ","$10,272.07 ","$7,192.00 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,SC,27,"$43,482.22 ","$8,931.59 ","$7,023.85 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,OK,28,"$43,428.11 ","$10,061.18 ","$7,435.21 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,MN,33,"$35,397.33 ","$10,793.36 ","$9,422.30 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,WA,34,"$50,646.06 ","$12,192.79 ","$9,069.71 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,MO,39,"$37,944.10 ","$8,591.59 ","$6,967.54 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,NJ,42,"$57,796.57 ","$11,089.67 ","$8,889.57 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,IN,46,"$41,332.83 ","$9,930.93 ","$7,061.04 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,AL,48,"$45,069.02 ","$8,175.33 ","$6,354.77 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,VA,49,"$53,143.82 ","$10,322.69 ","$7,163.10 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,MD,50,"$18,724.74 ","$17,317.10 ","$15,728.38 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,TN,52,"$38,573.38 ","$8,352.06 ","$6,438.46 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,IL,54,"$38,789.46 ","$11,012.35 ","$7,611.06 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,GA,56,"$39,982.11 ","$9,186.23 ","$7,699.59 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,MA,56,"$43,107.95 ","$12,263.52 ","$10,750.88 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,OH,59,"$43,211.85 ","$9,908.63 ","$8,062.00 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,MI,61,"$32,808.23 ","$10,326.25 ","$8,208.38 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,NC,64,"$35,160.48 ","$9,708.72 ","$7,939.27 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,PA,77,"$62,771.87 ","$11,716.53 ","$8,258.73 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,NY,94,"$44,272.96 ","$13,024.17 ","$11,062.66 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,TX,113,"$51,906.39 ","$9,736.68 ","$7,492.04 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,FL,126,"$64,015.12 ","$8,663.10 ","$7,407.13 "
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,CA,149,"$78,321.58 ","$14,051.32 ","$11,571.79 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,ID,11,"$37,935.45 ","$12,585.18 ","$10,030.73 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,NE,11,"$65,607.27 ","$15,094.18 ","$12,526.36 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,RI,12,"$27,658.50 ","$13,208.08 ","$12,489.25 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,WV,13,"$49,508.85 ","$15,075.69 ","$12,611.85 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,DE,14,"$32,890.86 ","$13,955.21 ","$12,366.14 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,DC,15,"$72,003.67 ","$16,584.93 ","$13,632.60 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,ME,15,"$63,039.53 ","$18,813.20 ","$16,848.67 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,NV,16,"$75,231.06 ","$13,417.00 ","$12,169.06 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,KS,21,"$73,527.38 ","$14,870.05 ","$13,553.95 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,OR,22,"$48,344.45 ","$15,272.91 ","$13,846.50 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,AZ,26,"$60,142.42 ","$13,728.69 ","$12,681.08 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,KY,26,"$39,604.73 ","$12,186.81 ","$9,320.27 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,WI,27,"$35,675.15 ","$12,446.81 ","$10,827.78 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,IA,29,"$25,606.52 ","$11,106.00 ","$10,192.66 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,OK,29,"$43,201.59 ","$11,677.83 ","$10,517.83 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,CO,30,"$54,277.93 ","$12,792.43 ","$11,565.63 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,MS,30,"$49,998.83 ","$10,680.50 ","$9,615.50 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,CT,35,"$71,177.31 ","$20,016.46 ","$16,409.94 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,AR,36,"$44,132.11 ","$10,326.53 ","$9,311.22 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,SC,36,"$56,810.50 ","$12,807.47 ","$10,371.25 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,LA,37,"$44,060.97 ","$11,653.08 ","$10,281.35 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,IN,40,"$41,603.23 ","$11,300.65 ","$10,140.75 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,MD,40,"$18,894.90 ","$17,497.03 ","$15,773.05 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,MN,40,"$48,291.85 ","$16,177.53 ","$14,506.58 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,AL,51,"$50,823.35 ","$10,444.96 ","$9,372.75 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,WA,51,"$57,341.82 ","$15,958.16 ","$14,505.41 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,TN,52,"$54,725.56 ","$11,579.71 ","$9,692.08 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,NJ,58,"$94,439.60 ","$14,116.31 ","$12,556.03 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,VA,59,"$45,357.31 ","$12,577.34 ","$10,535.29 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,MA,64,"$32,405.20 ","$15,670.73 ","$14,487.95 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,MO,70,"$47,671.19 ","$11,234.61 ","$10,273.31 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,OH,80,"$42,876.05 ","$13,239.40 ","$11,443.45 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,GA,85,"$48,373.76 ","$11,883.15 ","$10,343.19 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,MI,85,"$34,944.72 ","$13,387.74 ","$11,633.38 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,PA,96,"$61,411.59 ","$15,033.07 ","$12,353.88 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,IL,116,"$52,305.91 ","$12,678.03 ","$11,652.71 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,NC,117,"$34,508.27 ","$12,439.87 ","$10,511.09 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,NY,125,"$67,618.14 ","$18,155.10 ","$15,559.34 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,FL,164,"$73,848.20 ","$12,309.26 ","$10,227.85 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,TX,178,"$61,272.69 ","$11,966.36 ","$10,506.14 "
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,CA,206,"$96,951.50 ","$17,742.50 ","$15,973.56 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,NE,12,"$32,396.17 ","$6,797.42 ","$5,789.25 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,NV,12,"$55,383.25 ","$7,918.67 ","$6,906.92 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,NH,14,"$26,288.29 ","$7,679.50 ","$5,499.86 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,DC,15,"$37,242.20 ","$9,130.80 ","$7,065.80 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,ID,15,"$20,163.87 ","$7,232.87 ","$5,600.40 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,ME,16,"$20,106.06 ","$7,278.56 ","$6,214.06 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,DE,18,"$30,054.89 ","$8,626.06 ","$6,931.61 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,UT,18,"$23,943.33 ","$7,699.22 ","$5,438.72 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,NM,23,"$26,889.04 ","$7,770.04 ","$6,847.48 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,WV,23,"$20,199.39 ","$7,147.00 ","$5,604.52 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,IA,27,"$21,677.19 ","$6,813.56 ","$5,971.33 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,KS,29,"$32,967.45 ","$6,578.86 ","$5,780.14 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,OR,29,"$19,759.76 ","$8,694.79 ","$7,253.28 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,AR,35,"$22,379.71 ","$6,501.54 ","$5,337.69 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,CT,38,"$26,286.13 ","$9,009.21 ","$7,831.24 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,CO,44,"$37,821.75 ","$7,772.64 ","$6,743.57 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,WI,45,"$25,485.02 ","$8,330.29 ","$5,962.44 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,OK,46,"$35,197.57 ","$7,869.72 ","$6,308.76 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,AZ,53,"$38,807.02 ","$7,687.98 ","$6,866.25 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,IN,58,"$34,628.74 ","$7,675.09 ","$6,556.19 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,MN,59,"$29,313.90 ","$8,854.32 ","$7,660.92 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,SC,62,"$33,924.87 ","$7,745.73 ","$5,780.47 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,MS,65,"$27,282.63 ","$6,573.29 ","$5,455.14 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,LA,68,"$32,845.90 ","$7,765.03 ","$5,908.10 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,KY,71,"$28,696.59 ","$7,217.85 ","$5,855.11 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,WA,74,"$29,379.70 ","$8,289.72 ","$7,030.46 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,MO,90,"$31,797.46 ","$6,976.14 ","$5,728.94 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,VA,90,"$27,660.21 ","$7,425.56 ","$5,606.38 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,TN,96,"$29,413.17 ","$6,937.33 ","$5,652.07 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,MD,100,"$12,066.90 ","$11,151.49 ","$10,075.35 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,AL,101,"$31,077.99 ","$6,408.70 ","$5,063.77 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,GA,102,"$25,772.56 ","$7,165.07 ","$5,904.01 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,NJ,103,"$63,315.93 ","$9,095.77 ","$7,246.00 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,MA,112,"$18,818.23 ","$9,398.12 ","$7,941.43 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,NC,125,"$22,497.21 ","$7,479.30 ","$5,888.02 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,PA,129,"$37,676.86 ","$8,488.47 ","$5,818.32 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,OH,130,"$26,838.35 ","$7,942.36 ","$6,049.75 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,MI,136,"$21,245.54 ","$8,091.03 ","$6,716.30 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,IL,145,"$35,817.83 ","$8,250.46 ","$6,261.47 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,NY,147,"$39,171.26 ","$10,259.27 ","$8,365.59 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,TX,241,"$40,209.33 ","$7,536.43 ","$5,976.88 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,FL,271,"$44,602.39 ","$7,023.08 ","$5,729.94 "
369 - MAJOR ESOPHAGEAL DISORDERS W CC,CA,293,"$58,490.59 ","$10,565.65 ","$8,667.53 "
370 - MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC,VA,11,"$17,382.91 ","$4,715.91 ","$3,499.18 "
370 - MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC,IN,12,"$23,615.08 ","$5,783.08 ","$3,728.75 "
370 - MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC,MI,14,"$13,355.29 ","$5,217.64 ","$3,871.64 "
370 - MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC,KY,15,"$26,067.07 ","$4,973.00 ","$3,732.87 "
370 - MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC,LA,15,"$28,665.00 ","$4,981.33 ","$3,855.27 "
370 - MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC,GA,16,"$26,046.69 ","$5,195.44 ","$4,175.13 "
370 - MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC,MS,16,"$16,615.69 ","$4,472.31 ","$3,432.38 "
370 - MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC,TN,17,"$24,728.12 ","$4,686.53 ","$3,476.35 "
370 - MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC,AL,18,"$20,889.78 ","$4,711.22 ","$3,737.94 "
370 - MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC,MD,19,"$8,852.63 ","$8,255.63 ","$6,550.21 "
370 - MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC,NC,23,"$21,192.17 ","$5,425.39 ","$3,935.83 "
370 - MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC,IL,24,"$26,771.08 ","$5,556.96 ","$4,511.75 "
370 - MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC,MA,24,"$10,876.75 ","$6,243.50 ","$5,085.79 "
370 - MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC,OH,24,"$20,739.71 ","$5,573.67 ","$3,703.67 "
370 - MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC,PA,24,"$24,962.04 ","$5,650.46 ","$3,988.63 "
370 - MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC,MO,25,"$22,530.52 ","$4,994.88 ","$3,923.80 "
370 - MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC,NJ,26,"$40,631.19 ","$6,361.73 ","$4,693.15 "
370 - MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC,CA,38,"$40,585.68 ","$8,050.00 ","$6,676.39 "
370 - MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC,NY,45,"$26,149.07 ","$7,760.67 ","$6,132.42 "
370 - MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC,FL,49,"$32,318.41 ","$4,992.84 ","$3,820.65 "
370 - MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC,TX,56,"$30,347.98 ","$5,222.38 ","$3,876.71 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,AK,22,"$59,333.91 ","$17,688.95 ","$16,893.64 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,WY,24,"$30,443.63 ","$16,317.92 ","$14,153.63 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,HI,27,"$34,901.63 ","$16,536.93 ","$15,312.89 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,VT,27,"$24,958.96 ","$15,737.78 ","$14,797.78 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,MT,51,"$32,384.47 ","$11,760.43 ","$10,873.94 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,ND,55,"$25,189.11 ","$11,670.53 ","$10,712.98 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,ID,56,"$34,441.48 ","$13,196.77 ","$10,510.64 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,SD,60,"$37,438.42 ","$12,292.33 ","$10,941.07 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,RI,63,"$36,170.68 ","$13,957.02 ","$12,450.10 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,ME,65,"$27,981.08 ","$12,067.95 ","$11,037.12 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,DC,71,"$65,038.89 ","$20,057.90 ","$14,034.87 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,UT,83,"$35,164.47 ","$12,939.84 ","$11,222.81 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,DE,90,"$32,874.56 ","$13,561.56 ","$11,464.20 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,NM,103,"$34,810.62 ","$13,430.81 ","$12,002.71 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,NH,104,"$32,957.29 ","$12,684.99 ","$11,622.14 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,NE,108,"$37,778.56 ","$12,094.55 ","$9,918.81 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,WV,113,"$28,918.17 ","$11,278.20 ","$9,964.01 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,OR,164,"$41,176.57 ","$15,357.06 ","$13,695.43 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,KS,169,"$42,475.33 ","$10,902.31 ","$9,779.50 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,NV,171,"$84,075.05 ","$13,570.18 ","$11,918.60 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,IA,174,"$36,041.99 ","$11,816.24 ","$10,536.00 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,CO,195,"$50,350.91 ","$12,323.92 ","$11,108.47 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,CT,223,"$42,646.35 ","$14,932.57 ","$13,461.78 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,AR,224,"$39,621.48 ","$12,258.74 ","$11,019.26 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,OK,258,"$47,049.32 ","$11,810.40 ","$10,337.53 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,MS,259,"$40,383.76 ","$10,340.32 ","$9,418.90 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,WI,283,"$40,270.56 ","$13,043.03 ","$11,266.34 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,MN,295,"$31,063.95 ","$13,666.08 ","$12,243.14 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,LA,303,"$35,238.52 ","$11,002.04 ","$9,553.32 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,SC,336,"$47,135.77 ","$11,591.81 ","$9,944.52 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,AZ,359,"$55,356.88 ","$12,953.40 ","$11,653.68 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,KY,360,"$33,458.42 ","$11,055.92 ","$9,618.40 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,AL,361,"$49,320.53 ","$10,437.69 ","$8,977.97 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,WA,363,"$43,306.63 ","$13,479.82 ","$12,084.97 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,MD,422,"$16,801.64 ","$15,528.18 ","$14,421.78 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,IN,504,"$39,638.85 ","$11,711.91 ","$10,387.36 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,TN,513,"$38,020.77 ","$10,546.91 ","$9,494.98 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,MO,544,"$39,184.81 ","$11,134.09 ","$10,067.03 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,MA,561,"$28,000.09 ","$14,734.95 ","$13,357.46 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,VA,561,"$36,340.58 ","$11,716.14 ","$10,127.35 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,GA,617,"$41,186.45 ","$11,705.15 ","$10,224.97 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,NJ,647,"$91,585.47 ","$14,464.73 ","$12,651.61 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,MI,652,"$30,838.41 ","$12,968.38 ","$11,194.39 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,PA,731,"$59,769.52 ","$13,435.06 ","$11,160.45 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,OH,741,"$37,805.40 ","$12,104.24 ","$10,048.50 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,NC,764,"$32,103.52 ","$12,388.13 ","$10,164.06 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,NY,881,"$60,197.22 ","$17,161.03 ","$15,082.51 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,IL,"1,007","$45,557.33 ","$12,785.44 ","$10,868.41 "
