fm_code,sort_code,Era_Name,Coal Basin,fm_name,comments
332BGCF,3324100,Mississippian, ,"Big Clifty Ss Mbr, Golconda Fm                                                                                                                                                                                                                                 ",
332JCKS,3324100,Mississippian, ,Jackson Sd                                                                                                                                                                                                                                                     ,
332BCER,3324300,Mississippian, ,"Beech Creek, Elwren, & Reelsville Undifferentiated                                                                                                                                                                                                             ",
332BECE,3324300,Mississippian, ,"Beech Creek Ls Mbr, Golconda Fm                                                                                                                                                                                                                                ",
332BIGL2,3324300,Mississippian, ,Big Lime Zone 2,LOG SIGNATURE ZONE FOR BIG LIME PROJECT CORRELATIONS        
332BRLW,3324300,Mississippian, ,Barlow Ls                                                                                                                                                                                                                                                      ,
332CSTRL,3324300,Mississippian, ,Chester (Beech Ck thru Renault)                                                                                                                                                                                                                                ,USED WHERE FORMATION AT TOTAL DEPTH IS UNCERTAIN            
332GRKN,3324300,Mississippian, ,Girkin Fm                                                                                                                                                                                                                                                      ,"EQUALS BECE, ELWR, REVL, SMPL, BVBD, MRTN, & POLI INCLUSIVE "
332CPBR,3324500,Mississippian, ,"Cypress, Paint Creek, Bethel & Renault Undifferentiated                                                                                                                                                                                                        ",Paducah area (Fluorspar District)                           
332CPRS,3324500,Mississippian, ,Cypress Ss                                                                                                                                                                                                                                                     ,
332CYPB,3324500,Mississippian, ,"Cypress, Paint Creek, & Bethel Undifferentiated                                                                                                                                                                                                                ",Fluorspar District Area                                     
332ELWR,3324500,Mississippian, ,Elwren Ss                                                                                                                                                                                                                                                      ,
332PCEK,3324700,Mississippian, ,Paint Creek Gp                                                                                                                                                                                                                                                 ,
332PCEKU,3324700,Mississippian, ,Upper Paint Creek Ls                                                                                                                                                                                                                                           ,
332RESM,3324700,Mississippian, ,Reelsville & Sample Undif                                                                                                                                                                                                                                      ,
332REVL,3324700,Mississippian, ,Reelsville Ls                                                                                                                                                                                                                                                  ,
332PCEKS,3324900,Mississippian, ,Paint Creek Sand                                                                                                                                                                                                                                               ,
332SMPL,3324900,Mississippian, ,Sample Ss                                                                                                                                                                                                                                                      ,
332BBMT,3325100,Mississippian, ,Beaver Bend & Moretown Undif                                                                                                                                                                                                                                   ,COMBINED UNIT DOES NOT INCLUDE PAOLI LS                     
332BIGL3,3325100,Mississippian, ,Big Lime Zone 3,LOG SIGNATURE ZONE FOR BIG LIME PROJECT CORRELATIONS        
332BVBD,3325100,Mississippian, ,Beaver Bend Ls                                                                                                                                                                                                                                                 ,
332PCEKL,3325100,Mississippian, ,Lower Paint Creek                                                                                                                                                                                                                                              ,
332PLBB,3325100,Mississippian, ,Paoli Ls to Beaver Bend Ls Undif                                                                                                                                                                                                                               ,"INCLUDES BEAVER BEND LS, MOORETOWN FM & PAOLI LS UNDIF      "
332BNST,3325300,Mississippian, ,Benoist                                                                                                                                                                                                                                                        ,
332BTHL,3325300,Mississippian, ,Bethel Ss                                                                                                                                                                                                                                                      ,
332MRTN,3325300,Mississippian, ,Mooretown Fm                                                                                                                                                                                                                                                   ,
332MRTNS,3325300,Mississippian, ,"Sandstone Mbr, Mooretown Fm                                                                                                                                                                                                                                    ",
332POLI,3325500,Mississippian, ,Paoli Ls                                                                                                                                                                                                                                                       ,
332RLSL,3325500,Mississippian, ,Renault Ls to St. Louis Ls Undif                                                                                                                                                                                                                               ,INCLUDES RNLT AND SGVV                                      
332RLWW,3325500,Mississippian, ,Renault Ls to Warsaw Ls Undif                                                                                                                                                                                                                                  ,"INCLUDES RNLT, SGVV, AND STLS UNDIF                         "
332RNLT,3325500,Mississippian, ,Renault Ls                                                                                                                                                                                                                                                     ,
332RNLTL,3325500,Mississippian, ,Lower Renault                                                                                                                                                                                                                                                  ,
333MRMC,3330000,Mississippian, ,Meramec Series                                                                                                                                                                                                                                                 ,
333MSSPM,3330100,Mississippian, ,"Mississippian, Middle Part                                                                                                                                                                                                                                     ",
333BIGL4,3330300,Mississippian, ,Big Lime Zone 4,LOG SIGNATURE ZONE FOR BIG LIME PROJECT CORRELATIONS        
333SGVV,3330300,Mississippian, ,Ste. Genevieve Ls                                                                                                                                                                                                                                              ,
333SGVVM,3330300,Mississippian, ,"Ste. Genevieve Ls Mbr, Monteagle Ls                                                                                                                                                                                                                            ",
333SGVVN,3330300,Mississippian, ,"Ste. Genevieve Ls Mbr, Newman Ls                                                                                                                                                                                                                               ",
333LVIS,3330500,Mississippian, ,"Levias Ls Mbr, Ste. Genevieve Ls                                                                                                                                                                                                                               ",
333AXVS,3330700,Mississippian, ,"Aux Vases Mbr, Ste. Genevieve Ls                                                                                                                                                                                                                               ",
333RCLR,3330700,Mississippian, ,"Rosiclare Ss Mbr, Ste. Genevieve Ls                                                                                                                                                                                                                            ",
333FRDN,3330900,Mississippian, ,"Fredonia Ls Mbr, Ste Genevieve                                                                                                                                                                                                                                 ",
333OHAR,3331100,Mississippian, ,O'Hara Lime                                                                                                                                                                                                                                                    ,
333MCLK,3331300,Mississippian, ,McClosky Ls                                                                                                                                                                                                                                                    ,
333MCLKA,3331500,Mississippian, ,"McClosky ""A""                                                                                                                                                                                                                                                   ",
333MCLKB,3331700,Mississippian, ,"McClosky ""B""                                                                                                                                                                                                                                                   ",
333MCLKC,3331900,Mississippian, ,"McClosky ""C""                                                                                                                                                                                                                                                   ",
333LRCH,3332090,Mississippian, ,Lost River Chert                                                                                                                                                                                                                                               ,
333SLMD,3332100,Mississippian, ,St. Louis to Muldraugh Undif                                                                                                                                                                                                                                   ,
333SLSM,3332100,Mississippian, ,St. Louis to Salem Undif.                                                                                                                                                                                                                                      ,JACKSON PURCHASE ONLY                                       
333STLS,3332100,Mississippian, ,St. Louis Ls                                                                                                                                                                                                                                                   ,
333STLSN,3332100,Mississippian, ,"St. Louis Ls Mbr, Newman Ls                                                                                                                                                                                                                                    ",
333STLSU,3332100,Mississippian, ,"Upper Mbr, St. Louis Ls                                                                                                                                                                                                                                        ","SURFACE TERM REQUESTED BY DGMP, SEE USGS PP 1503, P. 21"
333STLSL,3332150,Mississippian, ,"Lower Mbr, St. Louis Ls                                                                                                                                                                                                                                        ","SURFACE TERM REQUESTED BY DGMP, SEE USGS PP 1503, P. 21"
333RNFO,3332300,Mississippian, ,"Renfro Mbr, Slade Fm                                                                                                                                                                                                                                           ",
333SALM,3332300,Mississippian, ,Salem Ls                                                                                                                                                                                                                                                       ,
333SLFP,3332300,Mississippian, ,Salem/Warsaw/Fort Payne Undif                                                                                                                                                                                                                                  ,
333SLWW,3332300,Mississippian, ,Salem/Warsaw Undifferentiated                                                                                                                                                                                                                                  ,
333SALMA,3332350,Mississippian, ,Salem 'A' zone                                                                                                                                                                                                                                                 ,
333SALMB,3332500,Mississippian, ,Salem 'B' zone                                                                                                                                                                                                                                                 ,
333SMRT,3332500,Mississippian, ,Somerset Sh                                                                                                                                                                                                                                                    ,
333HDBG,3332700,Mississippian, ,Harrodsburg Ls                                                                                                                                                                                                                                                 ,
333WRSW,3332700,Mississippian, ,Warsaw Fm                                                                                                                                                                                                                                                      ,
333SCCH,3332900,Mississippian, ,"Science Hill Ss Mbr, Warsaw Fm                                                                                                                                                                                                                                 ",
334MSSPM,3340000,Mississippian, ,Middle Mississippian Series                                                                                                                                                                                                                                    ,
337MSSPL,3370100,Mississippian, ,"Mississippian, Lower Part                                                                                                                                                                                                                                      ",
337CNVL,3370299,Mississippian, ,"Cane Valley Ls Mbr, Ft Payne                                                                                                                                                                                                                                   ",
337FTPN,3370299,Mississippian, ,Fort Payne Fm                                                                                                                                                                                                                                                  ,"FOR BIG LIME PROJECT, MODIFY SORT SEQ, WAS 500"
337BRDN,3370300,Mississippian, ,Borden Fm                                                                                                                                                                                                                                                      ,
337INJN,3370300,Mississippian, ,Injun Sd                                                                                                                                                                                                                                                       ,
337KENR,3370300,Mississippian, ,Keener                                                                                                                                                                                                                                                         ,
337SBBL,3370300,Mississippian, ,Misc sands below the Big Lime                                                                                                                                                                                                                                  ,"UNDIF SAND PAYS IN BORDEN INCLUDING INJUN, KEENER, ETC.     "
337WVRL,3370300,Mississippian, ,Waverly Series                                                                                                                                                                                                                                                 ,
337CRDR,3370700,Mississippian, ,Corder                                                                                                                                                                                                                                                         ,
337FTPNR,3370700,Mississippian, ,"Fort Payne ""reef"" lithologies                                                                                                                                                                                                                                  ",
337FTPNS,3370700,Mississippian, ,Fort Payne Stray                                                                                                                                                                                                                                               ,
337JABZ,3370700,Mississippian, ,"Jabez Ss Mbr, Ft Payne                                                                                                                                                                                                                                         ","Kepferle, et al, 1980, USGS Bull 1502-A"
337KNFL,3370700,Mississippian, ,"Knifley Ss Mbr, Fort Payne Fm                                                                                                                                                                                                                                  ",
337MLDH,3370700,Mississippian, ,"Muldraugh Mbr, Borden Fm                                                                                                                                                                                                                                       ",
337RNFOL,3370700,Mississippian, ,Lower Renfro                                                                                                                                                                                                                                                   ,UPPERMOST BORDEN ON SELECTED QUADS                          
337FLKB,3370900,Mississippian, ,"Floyds Knob Bed, Borden Fm                                                                                                                                                                                                                                     ",
337GRGR,3370900,Mississippian, ,Grainger Fm                                                                                                                                                                                                                                                    ,
337HLCW,3370900,Mississippian, ,"Holtsclaw Slts Mbr, Borden Fm                                                                                                                                                                                                                                  ",
337NADA,3370900,Mississippian, ,"Nada Mbr, Borden Fm                                                                                                                                                                                                                                            ",
337WLDE,3370900,Mississippian, ,"Wildie Mbr, Borden Fm                                                                                                                                                                                                                                          ",
337HLGP,3371100,Mississippian, ,"Halls Gap Mbr, Borden Fm                                                                                                                                                                                                                                       ",
337CWBL,3371300,Mississippian, ,"Cowbell Mbr, Borden Fm                                                                                                                                                                                                                                         ",
337NNCY,3371500,Mississippian, ,"Nancy Mbr, Borden Fm                                                                                                                                                                                                                                           ",
337BEVR,3371700,Mississippian, ,Beaver Ls                                                                                                                                                                                                                                                      ,
337FRMR,3371700,Mississippian, ,"Farmers Slts Mbr, Borden Fm                                                                                                                                                                                                                                    ",
337WEIR,3371700,Mississippian, ,Weir Sd                                                                                                                                                                                                                                                        ,
337WEIRS,3371700,Mississippian, ,Stray Weir                                                                                                                                                                                                                                                     ,
337WEIR1,3371900,Mississippian, ,1st Weir,
337WEIR2,3372100,Mississippian, ,2nd Weir,
337WEIR3,3372300,Mississippian, ,3rd Weir,
337KNWD,3372500,Mississippian, ,"Kenwood Slts Mbr, Borden Fm                                                                                                                                                                                                                                    ",
337NPNA,3372500,Mississippian, ,New Providence & New Albany Undif                                                                                                                                                                                                                              ,Fluorspar District Area                                     
337NPVC,3372500,Mississippian, ,New Providence Sh                                                                                                                                                                                                                                              ,
337NPVCB,3372500,Mississippian, ,"New Providence Sh Mbr, Borden Fm                                                                                                                                                                                                                               ",
337NPVCF,3372500,Mississippian, ,"New Providence Sh Mbr, Ft Payne Fm                                                                                                                                                                                                                             ",
338OSGE,3380000,Mississippian, ,Osage Series                                                                                                                                                                                                                                                   ,
339KDRK,3390000,Mississippian, ,Kinderhook Series                                                                                                                                                                                                                                              ,
339RCKF,3390100,Mississippian, ,Rockford Ls                                                                                                                                                                                                                                                    ,
339SNBD,3390100,Mississippian, ,Sunbury to Bedford Undif                                                                                                                                                                                                                                       ,
339SNBR,3390100,Mississippian, ,Sunbury Sh                                                                                                                                                                                                                                                     ,
339BRBD,3390300,Mississippian, ,Berea Ss and Bedford Sh Undif                                                                                                                                                                                                                                  ,
339BREA,3390300,Mississippian, ,Berea Ss                                                                                                                                                                                                                                                       ,
339BDFD,3390500,Mississippian, ,Bedford Sh                                                                                                                                                                                                                                                     ,
339HNBL,3390500,Mississippian, ,Hannibal Sh                                                                                                                                                                                                                                                    ,
340DVNN,3400100,Devonian, ,Devonian System                                                                                                                                                                                                                                                ,
340DVNNC,3400100,Devonian, ,Devonian chert and clay                                                                                                                                                                                                                                        ,JACKSON PURCHASE ONLY                                       
340BBSI,3400300,Devonian, ,Berea/Black Shale Interval Combined                                                                                                                                                                                                                            ,"INCLUDES BEREA, BEDFORD, AND OHIO SHALE                     "
341DVNNU,3410100,Devonian, ,"Devonian, Upper Part                                                                                                                                                                                                                                           ",
341CGRN,3410300,Devonian, ,Chagrin Shale                                                                                                                                                                                                                                                  ,A clastic sequence interfingering with Ohio Shale units     
341CHAT,3410300,Devonian, ,Chattanooga Sh                                                                                                                                                                                                                                                 ,
341CLVD,3410300,Devonian, ,"Cleveland Mbr, Ohio Sh                                                                                                                                                                                                                                         ",
341GRCK,3410300,Devonian, ,"Grassy Creek Mbr, New Albany Sh                                                                                                                                                                                                                                ",
341HNBL,3410300,Devonian, ,"Hannibal Mbr, New Albany Sh                                                                                                                                                                                                                                    ",
341NALB,3410300,Devonian, ,New Albany Sh                                                                                                                                                                                                                                                  ,
341OHIO,3410300,Devonian, ,Ohio Sh                                                                                                                                                                                                                                                        ,
341OHIOU,3410300,Devonian, ,"Ohio Shale, Upper Part                                                                                                                                                                                                                                         ",Cleveland through Middle Huron Undifferentiated             
341TLBD,3410500,Devonian, ,"Three Lick Bed, Ohio Sh                                                                                                                                                                                                                                        ",
341GRDN,3410700,Devonian, ,Gordon Sand                                                                                                                                                                                                                                                    ,SANDY ZONES IN SHALE IN BOYD CO                             
341HURN,3410700,Devonian, ,"Huron Mbr, Ohio Sh                                                                                                                                                                                                                                             ",
341HURNU,3410700,Devonian, ,"Upper Huron Mbr, Ohio Sh                                                                                                                                                                                                                                       ",
341SLMR,3410700,Devonian, ,"Selmier Mbr, New Albany Sh                                                                                                                                                                                                                                     ",
341HURNM,3410900,Devonian, ,"Middle Huron Mbr, Ohio Sh                                                                                                                                                                                                                                      ",
341HURNL,3411100,Devonian, ,"Lower Huron Mbr, Ohio Sh                                                                                                                                                                                                                                       ",
341JAVA,3411300,Devonian, ,Java Fm                                                                                                                                                                                                                                                        ,Olentangy and Rhinestreet Undifferentiated                  
341OHIOL,3411300,Devonian, ,"Ohio Shale, Lower Part                                                                                                                                                                                                                                         ",Olentangy and Rhinestreet Undifferentiated                  
341OLNG,3411300,Devonian, ,"Olentangy Mbr, Ohio Sh                                                                                                                                                                                                                                         ",
341BLCR,3411500,Devonian, ,"Blocher Mbr, New Albany Sh                                                                                                                                                                                                                                     ",
341HRDN,3411500,Devonian, ,Hardin Ss                                                                                                                                                                                                                                                      ,DETRITAL ZONE BELOW NEW ALBANY SH                           
341KNBL,3411500,Devonian, ,Knob Lick Sd                                                                                                                                                                                                                                                   ,DETRITAL ZONE BELOW NEW ALBANY SHALE                        
341RNST,3411500,Devonian, ,"Rhinestreet Mbr, Ohio Sh                                                                                                                                                                                                                                       ",
344DVNNM,3440100,Devonian, ,"Devonian, Middle Part                                                                                                                                                                                                                                          ",
344BCBO,3440300,Devonian, ,Boyle Dol/Crab Orchard Undif                                                                                                                                                                                                                                   ,ADDED FOR DIGITAL GEOLOGIC MAPPING PROJECT 11/11/97
344BOYL,3440300,Devonian, ,Boyle Dol                                                                                                                                                                                                                                                      ,
344CORN,3440300,Devonian, ,Corniferous                                                                                                                                                                                               ,MISC PRODUCING CARBONATE INTERVALS BELOW THE DEVONIAN SHALES
344CORN1,3440300,Devonian, ,1st Corniferous,
344OGHG,3440300,Devonian, ,Onondaga/Helderberg Undif                                                                                                                                                                                                                                      ,USED WHERE ORISKANY IS MISSING                              
344ONDG,3440300,Devonian, ,Onondaga Ls                                                                                                                                                                                                                                                    ,
344SLBG,3440300,Devonian, ,Sellersburg Ls                                                                                                                                                                                                                                                 ,
344SLJF,3440300,Devonian, ,Sellersburg & Jeffersonville Undif                                                                                                                                                                                                                             ,
344BCHD,3440500,Devonian, ,"Beechwood Ls Mbr, Sellersburg Ls                                                                                                                                                                                                                               ",
344SVCK,3440500,Devonian, ,"Silver Creek Ls Mbr, Sellersburg Ls                                                                                                                                                                                                                            ",
344CORN2,3440700,Devonian, ,2nd Corniferous,
344CORN3,3440700,Devonian, ,3rd Corniferous,
344CHCL,3440900,Devonian, ,Chert and Clay                                                                                                                                                                                                                                                 ,
344GDTR,3440900,Devonian, ,Grand Tower Ls                                                                                                                                                                                                                                                 ,
344JFVL,3440900,Devonian, ,Jeffersonville Ls                                                                                                                                                                                                                                              ,
344DCCK,3441100,Devonian, ,Dutch Creek Ss                                                                                                                                                                                                                                                 ,
347DVNNL,3470100,Devonian, ,"Devonian, Lower Part                                                                                                                                                                                                                                           ",
347CCEK,3470300,Devonian, ,Clear Creek Fm                                                                                                                                                                                                                                                 ,
347CCGK,3470300,Devonian, ,Clear Creek and Grassy Knob Undif                                                                                                                                                                                                                              ,
347ORSK,3470300,Devonian, ,Oriskany Ss                                                                                                                                                                                                                                                    ,
347BKBN,3470500,Devonian, ,Backbone Ls                                                                                                                                                                                                                                                    ,
